Country (or dependency),"Population
(2017)"
China,"1,409,517,397"
India,"1,339,180,127"
U.S.,"324,459,463"
Indonesia,"263,991,379"
Brazil,"209,288,278"
Pakistan,"197,015,955"
Nigeria,"190,886,311"
Bangladesh,"164,669,751"
Russia,"143,989,754"
Mexico,"129,163,276"
Japan,"127,484,450"
Ethiopia,"104,957,438"
Philippines,"104,918,090"
Egypt,"97,553,151"
Viet Nam,"95,540,800"
Germany,"82,114,224"
DR Congo,"81,339,988"
Iran,"81,162,788"
Turkey,"80,745,020"
Thailand,"69,037,513"
U.K.,"66,181,585"
France,"64,979,548"
Italy,"59,359,900"
Tanzania,"57,310,019"
South Africa,"56,717,156"
Myanmar,"53,370,609"
South Korea,"50,982,212"
Kenya,"49,699,862"
Colombia,"49,065,615"
Spain,"46,354,321"
Argentina,"44,271,041"
Ukraine,"44,222,947"
Uganda,"42,862,958"
Algeria,"41,318,142"
Sudan,"40,533,330"
Iraq,"38,274,618"
Poland,"38,170,712"
Canada,"36,624,199"
Morocco,"35,739,580"
Afghanistan,"35,530,081"
Saudi Arabia,"32,938,213"
Peru,"32,165,485"
Venezuela,"31,977,065"
Uzbekistan,"31,910,641"
Malaysia,"31,624,264"
Angola,"29,784,193"
Mozambique,"29,668,834"
Nepal,"29,304,998"
Ghana,"28,833,629"
Yemen,"28,250,420"
Madagascar,"25,570,895"
North Korea,"25,490,965"
Australia,"24,450,561"
Côte d'Ivoire,"24,294,750"
Cameroon,"24,053,727"
Taiwan,"23,626,456"
Niger,"21,477,348"
Sri Lanka,"20,876,917"
Romania,"19,679,306"
Burkina Faso,"19,193,382"
Malawi,"18,622,104"
Mali,"18,541,980"
Syria,"18,269,868"
Kazakhstan,"18,204,499"
Chile,"18,054,726"
Zambia,"17,094,130"
Netherlands,"17,035,938"
Guatemala,"16,913,503"
Ecuador,"16,624,858"
Zimbabwe,"16,529,904"
Cambodia,"16,005,373"
Senegal,"15,850,567"
Chad,"14,899,994"
Somalia,"14,742,523"
Guinea,"12,717,176"
South Sudan,"12,575,714"
Rwanda,"12,208,407"
Tunisia,"11,532,127"
Cuba,"11,484,636"
Belgium,"11,429,336"
Benin,"11,175,692"
Greece,"11,159,773"
Bolivia,"11,051,600"
Haiti,"10,981,229"
Burundi,"10,864,245"
Dominican Republic,"10,766,998"
Czech Republic,"10,618,303"
Portugal,"10,329,506"
Sweden,"9,910,701"
Azerbaijan,"9,827,589"
Hungary,"9,721,559"
Jordan,"9,702,353"
Belarus,"9,468,338"
United Arab Emirates,"9,400,145"
Honduras,"9,265,067"
Tajikistan,"8,921,343"
Serbia,"8,790,574"
Austria,"8,735,453"
Switzerland,"8,476,005"
Israel,"8,321,570"
Papua New Guinea,"8,251,162"
Togo,"7,797,694"
Sierra Leone,"7,557,212"
Hong Kong,"7,364,883"
Bulgaria,"7,084,571"
Laos,"6,858,160"
Paraguay,"6,811,297"
El Salvador,"6,377,853"
Libya,"6,374,616"
Nicaragua,"6,217,581"
Lebanon,"6,082,357"
Kyrgyzstan,"6,045,117"
Turkmenistan,"5,758,075"
Denmark,"5,733,551"
Singapore,"5,708,844"
Finland,"5,523,231"
Slovakia,"5,447,662"
Norway,"5,305,383"
Congo,"5,260,750"
Eritrea,"5,068,831"
State of Palestine,"4,920,724"
Costa Rica,"4,905,769"
Ireland,"4,761,657"
Liberia,"4,731,906"
New Zealand,"4,705,818"
Central African Republic,"4,659,080"
Oman,"4,636,262"
Mauritania,"4,420,184"
Croatia,"4,189,353"
Kuwait,"4,136,528"
Panama,"4,098,587"
Moldova,"4,051,212"
Georgia,"3,912,061"
Puerto Rico,"3,663,131"
Bosnia & Herzegovina,"3,507,017"
Uruguay,"3,456,750"
Mongolia,"3,075,647"
Armenia,"2,930,450"
Albania,"2,930,187"
Jamaica,"2,890,299"
Lithuania,"2,890,297"
Qatar,"2,639,211"
Namibia,"2,533,794"
Botswana,"2,291,661"
Lesotho,"2,233,339"
Gambia,"2,100,568"
TFYR Macedonia,"2,083,160"
Slovenia,"2,079,976"
Gabon,"2,025,137"
Latvia,"1,949,670"
Guinea-Bissau,"1,861,283"
Bahrain,"1,492,584"
Trinidad and Tobago,"1,369,125"
Swaziland,"1,367,254"
Estonia,"1,309,632"
Timor-Leste,"1,296,311"
Equatorial Guinea,"1,267,689"
Mauritius,"1,265,138"
Cyprus,"1,179,551"
Djibouti,"956,985"
Fiji,"905,502"
Réunion,"876,562"
Comoros,"813,912"
Bhutan,"807,61"
Guyana,"777,859"
Montenegro,"628,96"
Macao,"622,567"
Solomon Islands,"611,343"
Luxembourg,"583,455"
Suriname,"563,402"
Western Sahara,"552,628"
Cabo Verde,"546,388"
Guadeloupe,"449,568"
Maldives,"436,33"
Malta,"430,835"
Brunei,"428,697"
Bahamas,"395,361"
Martinique,"384,896"
Belize,"374,681"
Iceland,"335,025"
Barbados,"285,719"
French Polynesia,"283,007"
French Guiana,"282,731"
New Caledonia,"276,255"
Vanuatu,"276,244"
Mayotte,"253,045"
Sao Tome & Principe,"204,327"
Samoa,"196,44"
Saint Lucia,"178,844"
Channel Islands,"165,314"
Guam,"164,229"
Curaçao,"160,539"
Kiribati,"116,398"
St. Vincent & Grenadines,"109,897"
Tonga,"108,02"
Grenada,"107,825"
Micronesia,"105,544"
Aruba,"105,264"
U.S. Virgin Islands,"104,901"
Antigua and Barbuda,"102,012"
Seychelles,"94,737"
Isle of Man,"84,287"
Andorra,"76,965"
Dominica,"73,925"
Cayman Islands,"61,559"
Bermuda,"61,349"
Greenland,"56,48"
American Samoa,"55,641"
Saint Kitts & Nevis,"55,345"
Northern Mariana Islands,"55,144"
Marshall Islands,"53,127"
Faeroe Islands,"49,29"
Sint Maarten,"40,12"
Monaco,"38,695"
Liechtenstein,"37,922"
Turks and Caicos,"35,446"
Gibraltar,"34,571"
San Marino,"33,4"
British Virgin Islands,"31,196"
Caribbean Netherlands,"25,398"
Palau,"21,729"
Cook Islands,"17,38"
Anguilla,"14,909"
Wallis & Futuna,"11,773"
Nauru,"11,359"
Tuvalu,"11,192"
Saint Pierre & Miquelon,"6,32"
Montserrat,"5,177"
Saint Helena,"4,049"
Falkland Islands,"2,91"
Niue,"1,618"
Tokelau,"1,3"
Holy See,792
,
http://www.worldometers.info/world-population/population-by-country/,
