id,id2,unusual_flag,worst_flag,date,decade,year,month,first_flight,type,make,model,nature,departure_airport,departure_airport_formatted,departure_airport_lat,departure_airport_lng,departure,destination_airport,destination_airport_formatted,destination_airport_lat,destination_airport_lng,destination_country,accident_country,location_full,phase_old,phase,phase_code,passengers_text,crew_text,total_text,passengers_occupants,crew_occupants,total_occupants,passengers_fatalities,crew_fatalities,total_fatalities,total_survivors,ground_casualties,total_occupants_old,passengers_occupants_old,airplane_damage,date_text,registration,operator,narrative
8703,8705,0,100,7/11/1973,1970,1973,5,1968,Boeing 707-345C,Boeing,707-345C,International Scheduled Passenger,"Rio de Janeiro-Gale??o International Airport, RJ (GIG/SBGL), Brazil","RIOgaleão - Tom Jobim International Airport (GIG) - Av. Vinte de Janeiro, s/nº - Ilha do Governador, Rio de Janeiro - RJ, 21941-900, Brazil",-22.8134098,-43.2494233,Brazil,"Paris-Orly Airport (ORY/LFPO), France","Orly Airport (ORY), 94390 Orly, France",48.7262433,2.3652472,France,France,5 km (3.1 mls) W of Paris-Orly Airport (ORY) (France),Approach (APR),Approach ,APR,Fatalities: 116 / Occupants: 117,Fatalities: 7 / Occupants: 17,Fatalities: 123 / Occupants: 134,117,17,134,116,7,123,11,0,,117,Destroyed,Wednesday 11 July 1973,PP-VJZ,Varig,"Varig Flight 820 departed Rio de Janeiro (GIG) at 03:03 for a flight to Paris-Orly (ORY). The en route part of the flight was uneventful. At 13:57 the aircraft had descended to FL080 and contacted Orly approach, who told the crew to maintain FL080 and head to the OLS VOR which would take the aircraft to the downwind leg of runway 26. At 13:58:20 the flight crew contacted Orly approach and reported a ""problem with fire on board"". An emergency descent was requested. At 13:59 clearance was given to descend to 3000 feet for a runway 07 landing, making a straight-in approach possible. While the situation on board was getting worse (smoke entering the cockpit and passengers becoming asphyxiated), a clearance to descend to 2000 feet was given at 14:01:10. The flight crew put on oxygen masks as smoke was making it impossible to read the instruments. At 14:03 the pilot decided to make an emergency landing 5 km short of the runway with gear down and flaps at 80deg. The Boeing approached with considerable nose-up attitude, in a slight left bank. The aircraft truncated some small trees and made a heavy landing on a field. Both main gears collapsed and the engines were torn off in the subsequent skid. The fuselage however, remained intact. Ten occupants (all crewmembers) evacuated the aircraft. By the time the firemen arrived (6-7 minutes later) the fire had burned through the roof and there was no sign of life. Of the four unconscious occupants the firemen could evacuate, only one survived."
7354,7355,0,99,4/20/1968,1960,1968,5,1968,Boeing 707-344C,Boeing,707-344C,International Scheduled Passenger,"Windhoek-Strijdom International Airport (WDH/FYWE), Namibia","Windhoek Hosea Kutako International Airport (WDH), Namibia",-22.484637,17.4706438,Namibia,"Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola","4 de Fevereiro International Airport (LAD), Luanda, Angola",-8.847951,13.234862,Angola,Namibia,5 km (3.1 mls) E of Windhoek-Strijdom International Airport (WDH) (Namibia),Initial climb (ICL),Initial climb ,ICL,Fatalities: 111 / Occupants: 116,Fatalities: 12 / Occupants: 12,Fatalities: 123 / Occupants: 128,116,12,128,111,12,123,5,0,,116,Destroyed,Saturday 20 April 1968,ZS-EUW,South African Airways - SAA,"A Boeing 707-344C passenger jet, registered ZS-EUW, was destroyed in a CFIT accident 5 km from Windhoek-Strijdom International Airport (WDH), Namibia. There were 116 passengers and 12 crew members on board. The airplane operated on a flight from Windhoek-Strijdom International Airport (WDH) to Luanda-4 de Fevereiro Airport (LAD). Five passengers survived the crashThe brand new Boeing 707 ZS-EUW was operating on South African Airways flight SA228 from Johannesburg to London via Windhoek, Luanda, Las Palmas and Frankfurt. At 20:49 the aircraft took off from Windhoek runway 08 and climbed to a height of about 650 feet above ground level. The plane leveled off and started to descend, flying into the ground 30 seconds later. The airplane impacted the ground some 5 km from the runway at a 271 knots groundspeed and rate of descent of about 2000 feet/min."
15128,15129,0,98,7/9/2006,2000,2006,6,1987-04-03 (19 years 3 months),Airbus A310-324,Airbus,A310-324,Domestic Scheduled Passenger,"Moskva-Domodedovo Airport (DME/UUDD), Russia","Domodedovo Moscow Airport (DME), Moskovskaya oblast', Russia",55.41030689999999,37.9024513,Russia,"Irkutsk Airport (IKT/UIII), Russia","International Airport Irkutsk (IKT), Ulitsa Shiryamova, 13, Irkutsk, Irkutskaya oblast', Russia, 664009",52.2685014,104.3833366,Russia,Russia,Irkutsk Airport (IKT) (Russia),Landing (LDG),Landing ,LDG,Fatalities: 120 / Occupants: 195,Fatalities: 5 / Occupants: 8,Fatalities: 125 / Occupants: 203,195,8,203,120,5,125,78,0,,195,Destroyed,Sunday 9 July 2006,F-OGYP,S7 Airlines,"On its last flight on July 8, 2006, the Airbus A310 F-OGYP was released with six defects as per minimum equipment list (MEL), including the deactivated state of the left engine thrust reverser. The previous two flights had been carried out with a deactivated right engine thrust reverser.On July 9, Sibir flight 778 departed Domodeovo (DME) at night for a flight to Irkutsk (IKT). Weather at Irkutsk was poor. It was raining, overcast clouds at 600 feet and a thunderstorm in the area. At 07:38 the co-pilot reported the completion of the final leg at 850 m, whereupon he received instructions to contact Irkutsk tower. The Irkutsk tower controller cleared the crew for an approach to runway 30. Descent to the final approach leg was carried out using the airplane captain's navigational display in VOR mode, and that of the co-pilot in ILS mode, to control the airplane's position relative to the course using indications from the localizer beacon. At 07:40:18 the co-pilot reported: ""Sibir 7-7-8 descending, landing gear down, ready for landing"", whereupon he received the controller's clearance to land. At 07:43:13, 1500 meters short of the runway threshold and at a height of 105 m, the crew disengaged auto-pilot no. 1, and switched off the auto-throttle 2 seconds afterwards.After breaking through the clouds, the captain obtained visual contact with the runway. He made a small elevator deflection to pitch down, which led momentarily to an increase in vertical speed and activation (at 07:43:30, at 30m), of the ""SINK RATE"" ground proximity warning. At 07:43:40 the captain landed the airplane at a speed of 244 kph (132 knots) at a distance of about 200-300 meters from the runway threshold. Immediately after touchdown, with the spoiler handle armed, all spoiler sections were automatically released. 1.5 seconds after touchdown the reverse thrust lever of the right engine was moved to idle by the captain, and 3 seconds after that, after the reverser doors were in their working position, switched to maximum reverse thrust. Engine reverse thrust then started to increase. In violation of SOP???s, the co-pilot did not call out the completion of reverser door movement to the working position (Rev Green). The crew did not activate the reverse thrust lever for the left engine. Afterwards the captain began to shift the reverse thrust lever of the right engine to reduce reverse thrust. Simultaneously with moving the reverse thrust lever of the right engine, the FDR records a change in position of the thrust control lever of the left engine, which in 3 steps, over 16 seconds, increased from 36.6?? (idle) to 59?? (~60% of the full rated takeoff thrust). The direction and periods of movement of the reverse thrust lever of engine no. 2 to reduce the reverse thrust and the thrust control lever of engine no. 1 to increase forward thrust coincided.Because of the movement of the thrust control lever to a position greater than 10??, the spoilers retracted automatically. Retraction of the spoilers led to the deactivation of the automatic braking mode. At this time the speed was about 180 kph (98 knots) and, on account of the large asymmetry of engine thrust, the airplane started to turn to the right, which the airplane captain counteracted by depressing the left pedal and forcibly applying the brakes. The speed stabilized at 98 knots. At 07:44:21 the crew (most probably the co-pilot) tried once again to deploy the thrust reverser on the right engine, for which he moved the reverse thrust lever of the engine over to maximum reverse thrust but, per design, the location of the thrust control lever for the left engine in a mode higher than 55?? prevented the operation, and the thrust reverser doors failed to unlock. The right engine remained at idle forward thrust. After this attempt to deploy the thrust reverser, the airplane started to swerve to the left. The crew attempted to correct this movement and the airplane started to drift to the right. The right main bogie exited the runway at a speed of 98 knots, and the nose landing gear and the left main bogie moved along the reinforced concrete portion of the runway. The nose landing gear and the left main bogie exited on to the ground at the end of the reinforced concrete runway at 07:44:36. The airplane traveled over clay soil with a grassy cover. At a distance of 210 m from the threshold of runway 12, the left engine destroyed part of the antenna and the wooden fence of the localizer beacon system. At a distance of 250 m from the threshold of runway 12, the airplane crossed an asphalt bypass road. The airplane stopped at 07:44:40 after colliding with a reinforced concrete airport perimeter fence and with brick structures (garages) behind it. The airplane broke apart during the collision and burst into flames."
13235,13235,42,97,11/23/1996,1990,1996,6,1987-09-17 (9 years 2 months),Boeing 767-260ER,Boeing,767-241ER,International Scheduled Passenger,"Addis Ababa-Bole Airport (ADD/HAAB), Ethiopia","Addis Ababa Airport (ADD), Addis Ababa, Ethiopia",8.9800689,38.7989319,Ethiopia,"Nairobi-Jomo Kenyatta International Airport (NBO/HKNA), Kenya","Jomo Kenyatta International Airport (NBO), Embakasi, Nairobi, Kenya",-1.3227102,36.9260693,Kenya,Comoros,"0,5 km (0.3 mls) off Grande Comore (Comoros)",Approach (APR),Approach ,APR,Fatalities: 119 / Occupants: 163,Fatalities: 6 / Occupants: 12,Fatalities: 125 / Occupants: 175,163,12,175,119,6,125,50,0,,163,Destroyed,Saturday 23 November 1996,ET-AIZ,Ethiopian Airlines,"Flight ET961 had taken off from Addis Ababa for a flight to Abidjan via Nairobi, Brazzaville and Lagos. Shortly after entering Kenyan airspace 3 men seized the aircraft and demanded to be flown to Australia. Approaching the Comores the aircraft began to run out of fuel. The pilot attempted to carry out a controlled ditching in the shallow, sheltered waters 500m off Le Galawa Beach. The left engine and wingtip struck the water, causing the aircraft to break up and crash."
9139,9140,0,96,8/20/1975,1970,1975,5,1973,Ilyushin 62,Ilyushin,22M15,International Scheduled Passenger,"Praha-Ruzyne International Airport (PRG/LKPR), Czech Republic","Václav Havel Airport Prague (PRG), Aviatická, 161 08 Praha 6, Czechia",50.10179100000001,14.2631811,Czech Republic,"Damascus International Airport (DAM/OSDI), Syria","Damascus International Airport (DAM), طريق المطار, Syria",33.410556,36.514444,Syria,Syria,17 km (10.6 mls) NE of Damascus International Airport (DAM) (Syria),Approach (APR),Approach ,APR,Fatalities: 115 / Occupants: 117,Fatalities: 11 / Occupants: 11,Fatalities: 126 / Occupants: 128,117,11,128,115,11,126,2,0,,117,Destroyed,Wednesday 20 August 1975,OK-DBF,CSA Ceskoslovensk?? Aerolinie,"CSA Flight 540 was a regular international service from Prague (PRG) to Tehran (THR) via Damascus (DAM) and Baghdad (SDA). The Il-62 ""Brno Trade Fair"" took off from Prague at 19:35, August 19. Past midnight local time, the airplane approached Damascus. Weather was fine with good visibility and wind 230 degrees at 10 kts. The flight was cleared for an approach to runway 23R. About 17 km from the airport, the Il-62 struck level ground 605m asl. The airplane broke up and caught fire.It was deemed possible that the crew mixed up QNH and QFE while programming the altimeter."
16124,16122,0,95,4/20/2012,2010,2012,7,1984-12-13 (27 years 5 months),Boeing 737-236,Boeing,737-236,Domestic Scheduled Passenger,"Karachi-Jinnah International Airport (KHI/OPKC), Pakistan","Jinnah International Airport, Airport Road، Karachi, Pakistan",24.9008297,67.16808259999999,Pakistan,"Islamabad-Benazir Bhutto International Airport (ISB/OPRN), Pakistan","Benazir Bhutto International Airport Islamabad (ISB), Airport Road, Rawalpindi, Pakistan",33.6164555,73.0961992,Pakistan,Pakistan,"ca 2,5 km SW of Islamabad-Benazir Bhutto International Airport (ISB) (Pakistan)",Approach (APR),Approach ,APR,Fatalities: 121 / Occupants: 121,Fatalities: 6 / Occupants: 6,Fatalities: 127 / Occupants: 127,121,6,127,121,6,127,0,0,,121,Destroyed,Friday 20 April 2012,AP-BKC,Bhoja Airlines,"A Boeing 737-236 passenger plane was destroyed in an accident near Islamabad, Pakistan. All 121 passengers and six crew members were killed.Bhoja Airlines flight B4-213 departed Karachi (KHI) on a domestic flight to Islamabad (ISB). This was Bhoja Airlines' inaugural flight on that route.The airplane crashed, broke up and burned in a rural area close to the Islamabad Express Highway while on final approach to runway 30. Weather reported about the time of the accident (18:40 LT/13:40 UTC) was poor with limited visibility, thunderstorm and rain:OPRN 201400Z 23020KT 3000 TSRA FEW025CB SCT030 BKN100 20/16 Q1011.0/29.85OPRN 201300Z 23020KT 4000 TS FEW025CB SCT030 BKN100 25/15 Q1009.3/29.80"
10027,10027,0,94,1/21/1980,1980,1980,6,1968-02-17 (11 years 11 months),Boeing 727-86,Boeing,727-86,Domestic Scheduled Passenger,"Mashhad Airport (MHD/OIMM), Iran","Razavi Khorasan Province, Mashhad, Hasheminejad Blvd, Mashhad International Airport (MHD), Iran",36.2300516,59.64436989999999,Iran,"Tehran-Mehrabad Airport (THR/OIII), Iran","Mehrabad International Airport (THR), Tehran, Iran",35.68998819999999,51.311241,Iran,Iran,29 km (18.1 mls) N of Tehran-Mehrabad Airport (THR) (Iran),Approach (APR),Approach ,APR,Fatalities: 120 / Occupants: 120,Fatalities: 8 / Occupants: 8,Fatalities: 128 / Occupants: 128,120,8,128,120,8,128,0,0,,120,Destroyed,Monday 21 January 1980,EP-IRD,Iran Air,"A Boeing 727-86 passenger jet, registered EP-IRD, was destroyed in a CFIT accident 29 km N of Tehran, Iran. All 120 passengers and eight crew members were killed. The airplane operated on a flight from Mashhad Airport (MHD) to Tehran-Mehrabad Airport (THR).The aircraft had been cleared for an ILS approach to runway 29 at 18:52 hours. At 19:11 the aircraft crashed in the Elburz Mountains north of Teheran.The investigation revealed that the pilot did not follow the ATS route, but proceeded straight to Mehrabad Airport. About six minutes before impact ATC asked the pilot to make a 360 deg turn over Varamin Non-directional Radio Beacon (NDB). The pilot made this 17nm to the north without advising ATC. On approach the copilot pointed out VORTAC radial crossing on wrong track, but the pilot did not react."
14292,14292,0,93,4/15/2002,2000,2002,6,1985-10-09 (16 years 6 months),Boeing 767-2J6ER,Boeing,767-2J6ER,International Scheduled Passenger,"Beijing-Capital Airport (PEK/ZBAA), China","Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,China,"Busan-Gimhae (Pusan) International Airport (PUS/RKPK), South Korea","Gimhae International Airport (PUS), 108 Gonghangjinim-ro, Daejeo 2(i)-dong, Gangseo-gu, Busan, South Korea",35.17322,128.9464591,South Korea,South Korea,"4,6 km (2.9 mls) N of Pusan-Kimhae Airport (PUS) (South Korea)",Approach (APR),Approach ,APR,Fatalities: 121 / Occupants: 155,Fatalities: 8 / Occupants: 11,Fatalities: 129 / Occupants: 166,155,11,166,121,8,129,37,0,,155,Destroyed,Monday 15 April 2002,B-2552,Air China,"Air China flight 129 departed Beijing at 08:37 on a scheduled flight to Pusan-Gimhae in South Korea. The en route part of the flight was uneventful. At 11:06 the second officer contacted Gimhae Approach. At that moment the airplane was 32 nm from the airport at an altitude of FL170. The approach controller cleared the flight to descend to 6000 feet. Runway 36L was in use and the crew could expext a straight-in approach. at 11:09 the controller notified the crew that the runway was changed to 18R, with winds 210 degrees at 17 kts. This meant a circling approach which none of the crew members had flown yet at Pusan. The captain and first officer then discussed the approach to be flown. The captain cautioned: ""We won't enlarge the traffic pattern, the mountains areall over that side."" At 11:13 the flight was further cleared down to 2600 feet. Two minutes later the approach controller radioed: ""Air China 129, turn left heading 030 cleared for ILS DME runway 36L, then circle to runway 18 right, report field in sight."" At 11:17 they captured the ILS and were cleared further down to the circling altitude of 700 feet. The landing gear was extended and flaps set at 20 degrees. Then the controller instructed the flight to contact Gimhae Tower and to circle west. The second officer responded but did not read back the frequency change. The captain then instructed the first officer to disconnect the autopilot and turn left. From his position in the right hand seat the first officer was able to observe the runway. As the aircraft passed abeam therunway the autopilot was reengaged with heading select. At that moment the approach controller again contacted flight 129 instructing them to contactthe tower. The crew were busy looking outside to see when they passed abeam the end of the runway. Simultaneously the Gimhae Tower controller contactedthe flight using the emergency frequency. As they passed abeam the threshold at 11:20:02 they started timing to measure the commencement f turning tobase. Eleven seconds after the call on the emergency frequency, the second officer reported to the Tower controller that they were on the circle approach. At 11:20:17 the captain took over control from the first officer and said he was going to turn base. He slowly began a widening turn, causing the first officer to urge him: ""turn quickly, not too late."" Meanwhile the flight was cleared to land . At 11:20:32 the captain disconnected the autopilot and banked the plane to the right. Twenty-two seconds later the first officer cautioned: ""Pay attention to the altitude keeping,"" and the captain asked him to help him get a visual on the runway. Due to the limited visibility they were not able to see the runway. The first officer then advised the captain to initiate a go around, but the captain didnot respond. At 11:21:15 the first officer said, ""Pull up! Pull up!"" Pitch attitude was increased to 11.4 degrees but thrust was not increased. Two seconds later the aircraft impacted a mountain, about 4.6 km from the runway."
4832,4832,0,92,6/18/1953,1950,1953,5,0,Douglas C-124A-DL Globemaster II,Douglas,C-124A-DL Globemaster II,Military,"Tachikawa AB (RJTC), Japan","Tachikawa Airfield, Midoricho, Tachikawa, Tokyo 190-0014, Japan",35.7109011,139.40232,Japan,"Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS), South Korea","Gimpo International Airport (GMP), 112 Haneul-gil, Gangseo-gu, Seoul, South Korea",37.5586545,126.7944739,South Korea,Japan,"5,6 km (3.5 mls) NE of Tachikawa AB (Japan)",Approach (APR),Approach ,APR,Fatalities: 122 / Occupants: 122,Fatalities: 7 / Occupants: 7,Fatalities: 129 / Occupants: 129,122,7,129,122,7,129,0,0,,122,Destroyed,Thursday 18 June 1953,51-0137,United States Air Force - USAF,"Visibility was 2,5 miles as the Douglas Globemaster transporter took off from Tachikawa AB, Japan, bound for Korea. Shortly after takeoff an engine failed. The pilot radioed ""One engine out, returning to field for GCA landing"". While on approach back to the air base, an improper use of flaps caused a loss of airspeed. Control was lost and the airplane crashed into a watermelon patch, broke up and caught fire."
10767,10767,0,91,11/8/1983,1980,1983,6,1982-04-29 (1 year 6 months),Boeing 737-2M2,Boeing,737-2M2,Domestic Scheduled Passenger,"Lubango Airport (SDD/FNUB), Angola","Lubango Airport (SDD), Lubango, Angola",-14.92829,13.56812,Angola,"Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola","4 de Fevereiro International Airport (LAD), Luanda, Angola",-8.847951,13.234862,Angola,Angola,1 km (0.6 mls) from Lubango Airport (SDD) (Angola),Initial climb (ICL),Initial climb ,ICL,Fatalities: 126 / Occupants: 126,Fatalities: 4 / Occupants: 4,Fatalities: 130 / Occupants: 130,126,4,130,126,4,130,0,0,,126,Destroyed,Tuesday 8 November 1983,D2-TBN,TAAG Angola Airlines,"The aircraft climbed to an altitude of 200 feet after takeoff but started to descend and turned left. The wingtip struck the ground causing the aircraft to crash, bursting into flames, 800m past the runway."
