id	id2	unusual_flag	worst_flag	decade	year	month	make	nature	accident_country	phase_old	phase	phase_code	crew_text	passengers_occupants	crew_occupants	total_occupants	passengers_fatalities	crew_fatalities	total_fatalities	total_survivors	ground_casualties	passengers_occupants_old	airplane_damage	make	nature	accident_country	phase_old	phase	phase_code	crew_text	airplane_damage	Selected	date	cnmsn	first_flight	type	model	status	departure_airport	departure	departure_airport_formatted	departure_lat	departure_lng	destination_airport	destination_country	destination_airport_formatted	destination_lat	destination_lng	location_full	passengers_text	total_text	date_text	registration	operator	narrative
10001.0	10001.0	0.0	14.0	1970.0	1979.0	5.0								237.0	20.0	257.0	237.0	20.0	257.0	0.0	0.0	237.0		MBB	Domestic Non Scheduled Passenger	Antarctica	En route (ENR)	En route	ENR	Fatalities: 20 / Occupants: 20	Destroyed	No	11/28/1979	46910/182	1974	McDonnell Douglas DC-10-30	HFB-320 Hansa Jet	Final	Auckland International Airport (AKL/NZAA), New Zealand	New Zealand	Auckland Airport (AKL) Ray Emery Dr, Auckland Airport, Auckland 2022, New Zealand	-37.0082476	174.7850358	Christchurch International Airport (CHC/NZCH), New Zealand	New Zealand	Christchurch International Airport (CHC) 30 Durey Rd, Christchurch Airport, Christchurch 8053, New Zealand	-43.4863981	172.5368705	Mount Erebus (Antarctica)	Fatalities: 237 / Occupants: 237	Fatalities: 257 / Occupants: 257	Wednesday 28 November 1979	ZK-NZP	Air New Zealand	At 19:17 (27 November) Flight TE901 took off for a scenic flight from Auckland, proceeding over South Island, Auckland Islands, Baleny Islands and Cape Hallett to McMurdo (Antarctica) The flight would then return via Cape Hallett and Campbell Island to Christchurch. Approaching Ross Island it appeared that the area which was approved by the operator for VMC descents below 16000 feet was obscured by cloud. The crew decided to descend in a clear area to the (true) North of Ross Island in two descending orbits. The aircraft's descent was continued to 1500 feet on the flight planned track back toward Ross Island for its next turning point, Williams Field, McMurdo. The aircraft however, was actually flying 1,5 miles East of its flight-planned track. Shortly after reaching 1500 feet the GPWS sounded. Go around power was applied but the aircraft struck the slope of Mt Erebus at 1465 feet. The aircraft broke up and caught fire.
10027.0	10027.0	0.0	94.0	1980.0	1980.0	6.0								120.0	8.0	128.0	120.0	8.0	128.0	0.0	0.0	120.0		Boeing	Domestic Scheduled Passenger	Iran	Approach (APR)	Approach	APR	Fatalities: 8 / Occupants: 8	Destroyed	No	1/21/1980	19817/537	1968-02-17 (11 years 11 months)	Boeing 727-86	727-86	0	Mashhad Airport (MHD/OIMM), Iran	Iran	Razavi Khorasan Province, Mashhad, Hasheminejad Blvd, Mashhad International Airport (MHD), Iran	36.2300516	59.64436989999999	Tehran-Mehrabad Airport (THR/OIII), Iran	Iran	Mehrabad International Airport (THR), Tehran, Iran	35.68998819999999	51.311241	29 km (18.1 mls) N of Tehran-Mehrabad Airport (THR) (Iran)	Fatalities: 120 / Occupants: 120	Fatalities: 128 / Occupants: 128	Monday 21 January 1980	EP-IRD	Iran Air	A Boeing 727-86 passenger jet, registered EP-IRD, was destroyed in a CFIT accident 29 km N of Tehran, Iran. All 120 passengers and eight crew members were killed. The airplane operated on a flight from Mashhad Airport (MHD) to Tehran-Mehrabad Airport (THR).The aircraft had been cleared for an ILS approach to runway 29 at 18:52 hours. At 19:11 the aircraft crashed in the Elburz Mountains north of Teheran.The investigation revealed that the pilot did not follow the ATS route, but proceeded straight to Mehrabad Airport. About six minutes before impact ATC asked the pilot to make a 360 deg turn over Varamin Non-directional Radio Beacon (NDB). The pilot made this 17nm to the north without advising ATC. On approach the copilot pointed out VORTAC radial crossing on wrong track, but the pilot did not react.
10080.0	10080.0	0.0	69.0	1980.0	1980.0	6.0								138.0	8.0	146.0	138.0	8.0	146.0	0.0	0.0	138.0		Boeing	Int'l Non Scheduled Passenger	Spain	Approach (APR)	Approach	APR	Fatalities: 8 / Occupants: 8	Destroyed	No	4/25/1980	19279/288	1966-06-24 (13 years 10 months)	Boeing 727-46	727-46	Final	Manchester International Airport (MAN/EGCC), United Kingdom	United Kingdom	Manchester Airport (MAN), Manchester M90 1QX, UK	53.3588026	-2.2727303	Tenerife-Norte Los Rodeos Airport (TFN/GCXO), Spain	Spain	Tenerife Norte Airport, 38297 San Cristóbal de La Laguna, Santa Cruz de Tenerife, Spain	28.484511	-16.3434204	Esperanzo Forest (Spain)	Fatalities: 138 / Occupants: 138	Fatalities: 146 / Occupants: 146	Friday 25 April 1980	G-BDAN	Dan-Air Services	"Dan-Air flight 1008 took off from Manchester Airport (MAN) at 09:22 UTC en route for Tenerife-Norte Los Rodeos Airport (TFN). After an uneventful flight, the crew contacted Tenerife North Airport Approach Control at 13:14, informing them that they were at FL110 and at 14 nautical miles from the TFN VOR/DME. Approach Control replied, ""Dan Air one zero zero eight, cleared to the Foxtrot Papa beacon via Tango Foxtrot November, flight level one one zero expect runway one two, no delay."" The Dan Air crew repeated the clearance and requested meteorological information, which was given as: ""OK runway in use one two, the wind one two zero zero five, visibility six from seven kilometres clouds, two oktas at one two zero metres, plus four oktas at two five zero metres, plus two oktas at three five zero metres, November Hotel one zero three, temperature one six, dew point one, and drizzle."" Approximately one minute later Approach Control told the aircraft to descend and maintain FL60. Receipt of this message was acknowledged by the aircraft, whereupon the controller immediately requested it to indicate its distance from the TFN beacon. The crew replied that it was at 7 NM from TFN.At 13:18:48 UTC the aircraft notified Approach Control that it had just passed TFN and that it was heading for the 'FP' beacon. The controller then informed them of an unpublished hold over Foxtrot Papa: ""Roger, the standard holding over Foxtrot Papa is inbound heading one five zero, turn to the left, call you back shortly."" Dan Air 1008 only replied ""Roger"" without repeating the information received, which was not compulsory under the ICAO regulations in force at the time of the accident. Almost one minute later, the aircraft the crew reported: ""Dan Air one zero eight, Foxtrot Papa level at six zero, taking up the hold"" and Tenerife APP replied: ""Roger"". Instead of passing overhead FP, the flight had passed this navaid at 1.59 NM to the South. Instead of entering the 255 radial, the Boeing 727 continued its trajectory in the direction of 263 degrees for a duration of more than 20 seconds, entering an area with a minimum safety altitude (MSA) of 14500 ft. The co-pilot at that point said: ""Bloody strange hold, isn't it?"" The Captain remarked ""Yes, doesn't isn't parallel with the runway or anything."" The flight engineer then also made some remarks about the holding procedure. Approach control then cleared them down to 5000 feet. The captain then remarked: ""Hey did he say it was one five zero inbound?"". It appears that at this moment the information received on the holding flashed back to the Captain's mind, making him realize that his manoeuvre was taking him to magnetic course 150 degrees outbound from 'FP', whereas the information received was ""inbound"" on the holding, heading 150 degrees towards 'FP'. The copilot responded: ""Inbound yeh"". ""I don't like that"", the captain said. The GPWS alarm sounded. The captain interrupted his left hand turn and entered a right hand turn and ordered an overshoot. They overflew a valley, temporarily deactivating the GPWS warning. The copilot suggested: ""I suggest a heading of one two two actually and er take us through the overshoot, ah."" But the Captain continued with the turn to the right, because he was convinced that the turn he had been making to the left was taking him to the mountains. The captain contacted Approach Control at 13:21: ""Er ... Dan Air one zero zero eight, we've had a ground proximity Warning."" About two seconds later the aircraft flew into the side of a mountain at an altitude of approximately 5450 ft (1662 m) and at 11.5 km off course."
10121.0	10121.0	0.0	46.0	1980.0	1980.0	6.0								0.0	0.0	163.0	0.0	0.0	163.0	0.0	0.0	0.0		Tupolev	Domestic Scheduled Passenger	Kazakhstan	En route (ENR)	En route	ENR	Fatalities: / Occupants:	Destroyed	No	7/7/1980	79A-355	1979	Tupolev 154B-2	154B-2	0	Alma-Ata Airport (ALA/UAAA), Kazakhstan	Kazakhstan	Almaty International Airport, Mailin St 2, Almaty 050039, Kazakhstan	43.3499265	77.02528939999999	Simferopol Airport (SIP/UKFF), Ukraine	Ukraine	Simferopol International Airport, Симферополь, пгт., Mal'chenka St, 16, Aeroflots'kyi, Crimea, 95491	45.0191094	33.9972944	5 km (3.1 mls) from Alma-Ata Airport (ALA) (Kazakhstan)	Fatalities: / Occupants:	Fatalities: 163 / Occupants: 163	Monday 7 July 1980	CCCP-85355	Aeroflot / Kazakstan	Two minutes after takeoff from Alma-Ata, at a height of 120-150 m, the plane entered a zone of high air temperature (30-40 deg C) where the airspeed dropped because of the wind. Then the plane was caught in a downdraft and stalled. It descended nose down until it struck a farm and crashed on a wheat field near the suburbs of Alma-Ata.The Tu-154 disintegrated and caught fire, slid through a field and fell into a ravine.
10122.0	10122.0	0.0	45.0	1980.0	1980.0	6.0								156.0	10.0	166.0	156.0	10.0	166.0	0.0	0.0	156.0		Tupolev	Domestic Scheduled Passenger	Kazakhstan	En route (ENR)	En route	ENR	Fatalities: 10 / Occupants: 10	Destroyed	No	7/8/1980	79A-355	1979	Tupolev 154B-2	154B-2	0	Alma-Ata Airport (ALA/UAAA), Kazakhstan	Kazakhstan	Almaty International Airport, Mailin St 2, Almaty 050039, Kazakhstan	43.3499265	77.02528939999999	Rostov Airport (ROV/URRR), Russia	Russia	Rostov-on-Don Airport, пр- кт Шолохова, 270/1, Rostov, Rostovskaya oblast', Russia, 344009	47.2549489	39.8031772	5 km (3.1 mls) from Alma-Ata Airport (ALA) (Kazakhstan)	Fatalities: 156 / Occupants: 156	Fatalities: 166 / Occupants: 166	Tuesday 8 July 1980	CCCP-85355	Aeroflot, Kazakstan Civil Aviation Directorate	Two minutes after takeoff from Alma-Ata, at a height of 120-150 m, the plane entered a zone of high air temperature (30-40 deg C) where the airspeed dropped because of the wind. Then the plane was caught in a downdraft and stalled. It descended nose down until it struck a farm and crashed on a wheat field near the suburbs of Alma-Ata. The Tu-154 disintegrated and caught fire, slid through a field and fell into a ravine.The airplane operated on a flight to Rostov Airport (ROV) and Simferopol Airport (SIP).
10151.0	10151.0	0.0	6.0	1980.0	1980.0	6.0								287.0	14.0	301.0	287.0	14.0	301.0	0.0	0.0	287.0		Lockheed	Domestic Scheduled Passenger	Saudi Arabia	En route (ENR)	En route	ENR	Fatalities: 14 / Occupants: 14	Destroyed	No	8/19/1980	1169	1979	Lockheed L-1011 TriStar 200	L-1011 TriStar 100	Final	Riyadh International Airport (RUH/OERY), Saudi Arabia	Saudi Arabia	King Khalid International Airport (RUH), Airport Road, King Khalid International Airport, Riyadh Saudi Arabia	24.9597126	46.7029144	Jeddah-King Abdulaziz International Airport (JED/OEJN), Saudi Arabia	Saudi Arabia	King Abdulaziz International Airport, Jeddah 23631, Saudi Arabia	21.6658971	39.1717627	Riyadh International Airport (RUH) (Saudi Arabia)	Fatalities: 287 / Occupants: 287	Fatalities: 301 / Occupants: 301	Tuesday 19 August 1980	HZ-AHK	Saudi Arabian Airlines	Flight SV163 landed at Riyadh at 16:06 GMT for a scheduled intermediate stop after a flight from Karachi. At 18:08 the aircraft took off for the final leg to Jeddah. Six minutes and 54 seconds . after take-off, while climbing to FL350, visual and aural warnings indicated smoke in the aft cargo compartment C-3. Climbing through FL220 (at 18:20), a return to Riyadh was initiated. About two minutes later smoke was noted in the aft of the cabin, and passengers were panicking. At 18:25:26 the no. 2 engine throttle was stuck. The fire had by then entered the cabin of the TriStar. Because passengers where fighting in the aisles, aft of doors L2 and R2, the captain asked everybody to remain seated (18:27:40). On final approach engine no. 2 was shut down, and the captain told the cabin crew not to evacuate. Flight SV163 landed back at Riyadh runway 01 at 18:36:24 The crew continued to a taxiway and told the tower that they were going to shut the engines down and evacuate. The engines were shut down at 18:42:18. Because no evacuation had been initiated by then, crash, fire and rescue personnel tried to open the doors. At about 19:05 the succeeded in opening door 2R. About three minutes later, the interior was seen to be engulfed in flames.
10434.0	10433.0	29.0	0.0	1980.0	1982.0	6.0	McDonnell Douglas	Domestic Scheduled Passenger	Japan	Approach (APR)	Approach	APR	Fatalities: 0 / Occupants: 8	166.0	8.0	174.0	24.0	0.0	24.0	150.0	0.0	166.0	Damaged beyond repair									No	2/9/1982	45889/291	1967	McDonnell Douglas DC-8-61	DC-8	0	Fukuoka Airport (FUK/RJFF), Japan	Japan	Fukuoka Airport (FUK), 778-1 Shimousui, Hakata Ward, Fukuoka, Fukuoka Prefecture 812-0003, Japan	33.5903145	130.4467091	Tokyo-Haneda Airport (HND/RJTT), Japan	Japan	Haneda Airport (HND), Hanedakuko, Ōta, Tokyo 144-0041, Japan	35.5493932	139.7798386	Tokyo-Haneda Airport (HND) (Japan)	Fatalities: 24 / Occupants: 166	Fatalities: 24 / Occupants: 174	Tuesday 9 February 1982	JA8061	Japan Air Lines - JAL	"JAL Flight 350 took off from Fukuoka (FUK) runway 16 at 07:34 for a regular flight to Tokyo-Haneda (HND). The aircraft climbed to the cruising altitude of FL290. At 08:22 the crew started their descend to FL160. After reaching that altitude, they were cleared to descend down to 3000 feet. The aircraft was cleared for a runway 33R ILS approach and 5deg of flaps were selected at 08:35, followed by 25 degrees of flaps one minute later. The landing gear was lowered at 08:39 and 50 degrees of flaps were selected two minutes after that. At 08:42 the aircraft descended through 1000 feet at an airspeed of 135 knots with wind from a direction of 360deg at 20 knots. The co-pilot called out ""500 feet"" at 08:43:25 but the captain did not make the ""stabilized"" call-out as specified by JAL operational regulations. The airspeed decreased to 133 knots as the aircraft descended through 300 feet at 08:43:50 and the co-pilot warned the captain that the aircraft was approaching the decision height. At 08:43:56 the radio altimeter warning sounded, followed by the flight engineer calling out ""200 feet"", which was the decision height, three seconds later . At 08:44:01 the aircraft descended through 164 feet at 130KIAS. At that moment the captain cancelled autopilot, pushed his controls forward and retarded the throttles to idle. The co-pilot tried to regain control but the aircraft crashed into the shallow water of Tokyo Bay, 510m short of the runway 33R threshold. The nose and the right hand wing separated from the fuselage. The captain had recently suffered a psychosomatic disorder; preliminary reports suggested that the captain experienced some form of a mental aberration. He had been off duty from November 1980 to November 1981 for these reasons."
10489.0	10489.0	30.0	0.0	1980.0	1982.0	6.0	Boeing	Domestic Scheduled Passenger	Brazil	Landing (LDG)	Landing	LDG	Fatalities: 0 / Occupants: 6	112.0	6.0	118.0	2.0	0.0	2.0	116.0	0.0	112.0	Damaged beyond repair									No	5/25/1982	20970/376	1974-09-24 (7 years 8 months)	Boeing 737-2A1	737-2A1	0	S??o Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil	Brazil	Congonhas-São Paulo Airport (CGH) - Av. Washington Luís, s/nº - Vila Congonhas, São Paulo - SP, 04626-911, Brazil	-23.6273246	-46.6565842	Bras??lia International Airport, DF (BSB/SBBR), Brazil	Brazil	International Airport of Brasilia (BSB) - Lago Sul, Brasília - DF, 71608-900, Brazil	-15.8697369	-47.9172348	Brasilia International Airport, DF (BSB) (Brazil)	Fatalities: 2 / Occupants: 112	Fatalities: 2 / Occupants: 118	Tuesday 25 May 1982	PP-SMY	VASP - Via????o A??rea S??o Paulo	The aircraft landed heavily, nosegear first, in conditions of rain. The nosegear collapsed and the aircraft skidded off the runway, and broke in two.PROBABLE CAUSE: The pilot's misuse of rain repellent, causing an optical illusion.
10501.0	10500.0	0.0	80.0	1980.0	1982.0	6.0								128.0	9.0	137.0	128.0	9.0	137.0	0.0	0.0	128.0		Boeing	Domestic Scheduled Passenger	Brazil	Approach (APR)	Approach	APR	Fatalities: 9 / Occupants: 9	Destroyed	No	6/8/1982	21347/1282	1977-07-23 (4 years 11 months)	Boeing 727-212	727-212	0	Rio de Janeiro-Gale??o International Airport, RJ (GIG/SBGL), Brazil	Brazil	RIOgaleão - Tom Jobim International Airport (GIG) - Av. Vinte de Janeiro, s/nº - Ilha do Governador, Rio de Janeiro - RJ, 21941-900, Brazil	-22.8134098	-43.2494233	Fortaleza-Pinto Martins Airport, CE (FOR/SBFZ), Brazil	Brazil	Pinto Martins – Fortaleza International Airport (FOR) - Av. Senador Carlos Jereissati, 3000 - Serrinha, Fortaleza - CE, 60741-900, Brazil	-3.7771555	-38.53309660000001	Sierra de Pacatuba, CE (Brazil)	Fatalities: 128 / Occupants: 128	Fatalities: 137 / Occupants: 137	Tuesday 8 June 1982	PP-SRK	VASP - Via????o A??rea S??o Paulo	VASP Flight 168 departed S??o Paulo for a flight to Fortaleza, with an intermediate stop at Rio de Janeiro (GIG). The first leg of the flight was uneventful. As the flight approached Fortaleza, the crew were cleared to descend from their cruising altitude of FL330 to FL050 (5000 feet). In night-time conditions with the bright lights of the city in front, the captain descended below 5000 feet. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. The Boeing then struck a wooded mountainside at 2500 feet.
10514.0	10514.0	31.0	0.0	1980.0	1982.0	6.0	Boeing	International Scheduled Passenger	Indonesia	En route (ENR)	En route	ENR	Fatalities: 0 / Occupants: 15	247.0	15.0	262.0	0.0	0.0	0.0	262.0	0.0	247.0	Unknown									No	6/24/1982	21635/365	1979-03-19 (3 years 3 months)	Boeing 747-236B	747-230F	0	Kuala Lumpur International Airport (KUL/WMKK), Malaysia	Malaysia	Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia	2.7350439	101.7010435	Perth Airport, WA (PER/YPPH), Australia	Australia	Perth Airport (PER), Perth Airport WA 6105, Australia	-31.9385476	115.9672492	240 km (150 mls) SE of Jakarta (Indonesia)	Fatalities: 0 / Occupants: 247	Fatalities: 0 / Occupants: 262	Thursday 24 June 1982	G-BDXH	British Airways	Cruising at FL370 the aircraft entered a cloud of volcanic dust (Mount Galunggung had erupted). The crew noticed St. Elmo's fire and smoke and dust were present in the cabin. All four engines failed and the aircraft started to descend. The crew managed to restart engine no. 4 at FL130 and restarted the other engines in succession. Because engine no. 2 continually surged, a 3-engined emergency landing was carried out at Jakarta.
