GEO,UNIT,HAZARD,NACE_R2,TIME\WASTE	Total Waste	Chemical and medical wastes (subtotal)	Recyclable wastes (subtotal, W06+W07 except W077)	Equipment (subtotal, W077+W08A+W081+W0841)	Animal and vegetal wastes (subtotal, W091+W092+W093)	Mixed ordinary wastes (subtotal, W101+W102+W103)	Common sludges	Mineral and solidified wastes (subtotal)
European Union (28 countries),Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	2 494 700 000	54 960 000	234 540 000	16 160 000	88 670 000	286 170 000	18 490 000	1 795 720 000
Belgium,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	56 434 826	2 397 368	13 655 143	603 575	5 635 143	6 878 445	579 150	26 686 002
Bulgaria,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	179 677 011	518 228	2 370 564	132 660	983 646	3 223 979	78 817	172 369 117
Czech Republic,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	23 394 956	797 432	4 500 553	79 581	583 264	3 706 252	348 833	13 379 041
Denmark,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	20 081 310	317 413	3 361 288	168 614	1 087 281	3 555 861	187 953	11 402 900
Germany (until 1990 former territory of the FRG),Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	387 504 241	8 821 344	38 860 736	2 465 085	15 011 037	45 318 230	1 614 740	275 413 069
Estonia,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	21 804 040	1 750 157	1 263 107	34 312	149 633	484 602	27 245	18 094 986
Ireland,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	15 166 830	776 112	1 434 386	212 874	554 285	3 674 107	616 688	7 898 378
Greece,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	69 758 868	251 623	1 125 064	188 460	575 225	7 495 065	138 035	59 985 396
Spain,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	110 518 494	2 990 346	12 345 888	1 202 597	8 058 640	32 327 292	1 438 320	52 155 411
France,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	324 462 969	4 867 183	34 499 195	2 218 682	11 304 163	33 878 044	1 394 495	236 301 207
Croatia,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	3 724 563	56 814	904 420	58 078	395 664	1 491 070	16 830	801 687
Italy,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	159 107 169	16 071 024	26 503 670	2 800 026	6 921 585	39 416 867	5 455 319	61 938 678
Cyprus,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	2 050 850	21 404	281 339	18 137	112 018	233 278	6 906	1 377 767
Latvia,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	2 621 495	65 624	331 184	25 071	105 480	1 400 008	22 705	671 423
Lithuania,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	6 200 450	70 124	1 066 287	82 691	551 038	1 369 783	48 937	3 011 590
Luxembourg,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	7 072 758	47 825	383 363	7 398	95 427	255 433	10 639	6 272 673
Hungary,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	16 650 639	489 182	3 230 318	50 066	699 238	4 412 073	164 486	7 605 276
Malta,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	1 664 836	23 126	82 875	7 772	16 605	266 406	9 626	1 258 426
Netherlands,Tonne,Hazardous and non-hazardous - Total,All NACE activities plus households,2014	133 249 753	2 391 871	8 513 570	534 410	14 718 640	10 246 921	637 871	96 206 470
