Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	255	203	82	304	430	1221	481	266	162	95	80	45	49	..	..	90	337	..
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	108	115	172	211	132	147	63	103	85	78	123	66	65	..	..	71	53	..
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	39	83	141	80	58	55	74	80	72	84	128	61	60	..	..	68	125	..
Emigrants	Foreigners	Andorra	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	1	2	0	3	0	1	0	0	0	0	0	..	..	1	0	..
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	15	13	17	45	12	12	17	12	8	17	3	8	..	..	5	4	..
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	20	16	20	19	23	33	38	50	66	56	47	25	26	..	..	20	38	..
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	21	18	20	42	49	96	174	193	161	114	114	63	110	..	..	128	88	..
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	176	180	206	204	231	193	198	163	231	169	191	124	109	..	..	105	91	..
Emigrants	Citizens	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	17136	18830	19407	19644	18224	21644	30353	23056	21703	20333	19387	17828	18168	16376	16059	14401	15443	15368
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1	3	3	13	11	15	40	25	28	31	17	24	..	..	32	38	..
Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	0	0	0	0	0	0	0	0	0	1	1	0	..	..	0	0	..
