Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	28	8
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	36	36
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9	2
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	0	0	..	..	138	49
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	2
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11	12
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	4
Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3	0
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	19	14
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7	25
Emigrants	Foreigners	Benin	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1
Emigrants	Foreigners	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	2
Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	6
Emigrants	Foreigners	British Virgin Islands	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6	0
Emigrants	Citizens	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2923	2109	19036	..	..	13640	16036
Emigrants	Foreigners	Cameroon	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7	4
Emigrants	Foreigners	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	2
Emigrants	Foreigners	China (including Hong Kong Special Administrative Region)	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	98	52
Emigrants	Foreigners	China, Taiwan Province of China	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1
Emigrants	Foreigners	Colombia	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1
Emigrants	Foreigners	Congo	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	2
Emigrants	Foreigners	Croatia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	1
Emigrants	Foreigners	Cuba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3	2
Emigrants	Foreigners	Cyprus	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5	13
Emigrants	Foreigners	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	24	24
Emigrants	Foreigners	Democratic People's Republic of Korea	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1
Emigrants	Foreigners	Denmark	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	7
Emigrants	Foreigners	Egypt	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7	2
Emigrants	Foreigners	El Salvador	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Estonia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	4
Emigrants	Foreigners	Ethiopia	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	0
Emigrants	Foreigners	Finland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	5
Emigrants	Foreigners	France	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11	66
Emigrants	Foreigners	Gambia	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Georgia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13	6
Emigrants	Foreigners	Germany	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	45	82
Emigrants	Foreigners	Greece	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	61	533
Emigrants	Foreigners	Guinea	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0
Emigrants	Foreigners	Hungary	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13	14
Emigrants	Foreigners	Iceland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1
Emigrants	Foreigners	India	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11	10
Emigrants	Foreigners	Indonesia	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	3
