Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	6	0	0	12	0	2	7	3	6	2	4	0	5	1	4	4	6	13	23	33	32	38	61	64	64	70	57	20	24	13	29	27	31	24
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	3	5	9	15	12	15	9	8	5	9	9	15	5	13	11	11	6	8	13
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	8	22	21	21	25	16	13	9	19	13	12	17	10	10	8	4	8	7	11	7	8	19	7	8	10	11	10	5	2	5	7	6	10	5
Emigrants	Foreigners	Andorra	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	..	0	0	0	0	0	0
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	1	0	9	11	11	4	6	14	14	19	11	8	20	15	28	8	9	4	1	1	1	0	5	0	2	0	0	0	1	0	2
Emigrants	Foreigners	Antigua and Barbuda	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	..	0	0	..	0	0	0	0	0	0
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	29	42	30	26	38	56	20	33	22	33	33	34	35	48	50	38	20	28	27	28	26	34	38	37	28	35	23	34	26	25	33	27	27	43
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	7	7	9	20	13	7	8	9	4	2	0	1	6	5	2	4
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	121	153	133	102	161	139	146	192	181	208	146	248	184	221	201	186	243	219	243	220	223	228	245	286	269	287	247	192	241	314	325	348	352	379
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	52	40	27	33	34	24	45	37	46	37	46	35	28	46	69	61	71	65	98	164	119	111	116	114	140	160	154	131	153	169	208	199	213	254
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	3	3	0	2	1	3	1	..	1	1	4	5	3	1
Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	..	0	0	0	0	1	2
Emigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	0	0	2	0	0	0	0	0	1	0	0	1	7	1	6	2	6	0	0	5	1	0	6	0	2	0	0	..	0	0	0	0	0	0
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	5	25	16	14	9	4	10	7	10	12	10	10	10	28	16	17	16	7	7	35	40	33	18	13	11	24	28	8	14	17	27	61	71	54
Emigrants	Foreigners	Barbados	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	1	1	1	0	0	1	0	0	0	2	1	3	4	1	1	3	7	1	3	0	0	1	0	1	0	..	0	1	0	1	0	0
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	7	11	17	5	10	7	25	30	31	23	16	20	25	14	54	43	34	36	24
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	45	38	38	46	51	37	41	48	35	32	55	57	49	78	70	66	99	99	106	128	145	120	123	133	124	119	132	92	137	143	180	161	208	233
Emigrants	Foreigners	Belize	904	Latin America and the Caribbean	916	Central America	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Emigrants	Foreigners	Benin	903	Africa	914	Western Africa	902	Developing regions	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	2	1	3	4	2	5	5	3	1	1	5	0	4	4	2	3
Emigrants	Foreigners	Bhutan	935	Asia	5501	Southern Asia	902	Developing regions	0	4	0	0	0	0	2	0	0	0	0	0	1	0	4	1	2	1	2	4	4	2	1	1	1	2	3	1	7	0	3	3	8	0
Emigrants	Foreigners	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	2	1	4	1	0	3	6	4	12	8	2	5	5	6	3	6	7	12	3	16	7	8	10	12	5	8	11	11	7	4	3	9	11	4
Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	45	522	376	232	118	169	138	124	108	95	60	48	30	21	37	100	130	95	71
Emigrants	Foreigners	Botswana	903	Africa	913	Southern Africa	902	Developing regions	0	2	1	0	2	1	0	0	4	1	2	2	5	2	5	3	3	5	0	6	2	4	0	1	0	1	0	..	0	2	1	7	2	0
Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	39	31	18	39	46	35	39	38	47	60	46	79	56	76	88	97	109	92	98	105	117	103	99	135	120	159	162	116	138	232	251	240	254	252
Emigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	10	6	9	3	2	5	6	11	10	14	20	11	40	31	22	18	30	28	29	37	50	45	56	70	68	71	73	59	96	147	232	278	322	502
Emigrants	Foreigners	Burkina Faso	903	Africa	914	Western Africa	902	Developing regions	0	1	2	0	0	1	0	1	6	2	1	0	0	1	0	1	3	0	5	0	4	2	7	2	1	2	3	2	4	4	5	2	0	6
Emigrants	Foreigners	Burundi	903	Africa	910	Eastern Africa	902	Developing regions	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	7	5	1	2	1	1	2	13	12	4	6	7	0	0	2	6	3	2
Emigrants	Foreigners	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	0	0	1	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	..	0	0	0	0	0	0
Emigrants	Foreigners	Cambodia	935	Asia	920	South-Eastern Asia	902	Developing regions	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	4	2	1	2	8	0	5	2	2	3	3	5	2	2	0	1	2
Emigrants	Foreigners	Cameroon	903	Africa	911	Middle Africa	902	Developing regions	0	1	0	3	1	1	0	3	1	3	0	2	1	3	2	4	6	3	8	6	12	11	25	17	18	10	24	15	19	18	42	46	49	68
Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	173	148	136	193	153	175	177	209	238	159	164	196	159	189	155	151	201	184	187	228	235	205	235	296	243	297	281	219	249	357	343	293	358	358
Emigrants	Foreigners	Central African Republic	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	..	0	1	0	0	0	0
Emigrants	Foreigners	Chad	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	..	1	0	0	0	0	0
