Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2	0	..	..	..	..	0	1	2	0	1	0	2	1	0	2
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	1	0	3	0	0	1	0	1	0	1
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	2	2	2	2	4	5	0
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	1	0	0	0	2	3	0	0	0	0
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	..	..	..	..	0	0	0	0	0	1	2	0	0	0
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	22	10	..	..	..	..	5	11	7	6	5	5	3	5	2	2
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	2	1	3	1	3	1	1	0	1
Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	..	..	..	..	0	0	0	0	0	0	0	0	0	0
Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	1	0	1	2	1	1	2	0
Emigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	1	0	1	4	19	44	5	2	5	2
Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	2	..	..	..	..	1	0	1	6	2	1	0	0	0	0
Emigrants	Foreigners	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	0	0	1
Emigrants	Foreigners	China (including Hong Kong Special Administrative Region)	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	1	0	0	0	0	0	53	1	1	2
Emigrants	Foreigners	China, Taiwan Province of China	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	0	0	0	0	0	0	0	0
Emigrants	Foreigners	Croatia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	1	0	0
Emigrants	Foreigners	Cuba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	0	1	0
Emigrants	Foreigners	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	28	0	0	5	3	4	8	9	1	0
Emigrants	Foreigners	Denmark	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	1	4	3	1	3	9	2	2	3	2
Emigrants	Foreigners	Ecuador	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	1	0	0	0
Emigrants	Foreigners	Egypt	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	1	0	0	1	1
Emigrants	Citizens	Estonia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	800	710	..	..	..	..	2279	3964	4964	3940	3860	3972	4665	5608	5968	6414
Emigrants	Foreigners	Finland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11	11	..	..	..	..	47	59	80	37	106	95	59	81	46	38
Emigrants	Foreigners	France	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	..	..	..	..	2	2	0	6	11	3	13	11	2	2
Emigrants	Foreigners	Georgia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	1	1	2	0	0	3
Emigrants	Foreigners	Germany	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3	3	..	..	..	..	3	13	7	22	39	49	30	48	16	5
Emigrants	Foreigners	Greece	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	1	0	0	1	0
Emigrants	Foreigners	Hungary	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	1	5	1	1	7	2	0
Emigrants	Foreigners	Iceland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	2	1	1	0	0	1
Emigrants	Foreigners	India	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	2	1	0	0	0	4	6	0	0	2
Emigrants	Foreigners	Iran (Islamic Republic of)	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	1	0	0
Emigrants	Foreigners	Ireland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	1	0	1	0	2	0	0
Emigrants	Foreigners	Israel	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1	..	..	..	..	1	0	0	0	0	4	0	0	0	4
Emigrants	Foreigners	Italy	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	4	0	3	8	12	7	3	0
Emigrants	Foreigners	Japan	935	Asia	906	Eastern Asia	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	3	1	0	3	1	0	1	2	0
Emigrants	Foreigners	Kazakhstan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	2	3	0	0	3	3	2	0	0	0
Emigrants	Foreigners	Kyrgyzstan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	1	0	0
Emigrants	Foreigners	Latvia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11	9	..	..	..	..	8	9	5	5	10	13	6	17	16	12
Emigrants	Foreigners	Lebanon	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	1	0	0	0	0	0	0
Emigrants	Foreigners	Lithuania	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8	1	..	..	..	..	3	4	2	6	9	12	8	48	14	2
Emigrants	Foreigners	Luxembourg	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	1	0	0
Emigrants	Foreigners	Mexico	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	1	0	1
Emigrants	Foreigners	Netherlands	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	7	2	4	3	7	3	1	4	2	5
Emigrants	Foreigners	New Zealand	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	0	0	0	1
Emigrants	Foreigners	Nigeria	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	..	..	..	..	0	0	0	0	0	0	1	0	0	0
Emigrants	Foreigners	Norway	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	..	..	..	..	0	0	3	3	1	0	1	3	0	3
