Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	6	8	7	4	8	2	8	3	8	8	4	3	4	5
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	2	1	1	1	1	0	2	3
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	5	3	4	1	1	3	3	2	4	4	0	6	2	5	5	1	3	9	5	7	4	11	3	3	2	7	3	0	4	3	3
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	3	1	0	0	1	0	1	0	3	3	0
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	2	1	1	1	3	1	1	0	5	3	1	1	1	2	5	1	0	5	4	6	4	5	15	1	5	5	10	3	4	8	14
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	3	1	0	3	0	2	1
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	23	9	16	28	21	15	8	15	10	20	29	9	29	31	36	19	25	47	42	65	40	63	41	26	29	54	43	18	29	46	36
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	14	8	1	5	7	5	1	8	3	6	3	7	7	8	3	7	12	22	10	15	11	26	21	14	15	15	17	14	20	19	24
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	2	6
Emigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	..	..	..	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
