Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	0	..	0	0	0	1	0
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	..	..	..	..	1	..	0	0	0	1	0
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	1	2	..	..	..	..	0	..	1	0	1	0	0
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	0	..	1	1	0	0	0
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	3	..	..	..	..	15	..	2	0	0	2	1
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	..	..	..	..	0	..	1	0	0	0	0
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	12	12	12	18	10	14	24	13	13	10	8	15	5	8	5	7	10	..	..	..	..	20	..	8	5	5	6	9
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	5	2	2	2	6	1	4	13	7	1	1	5	2	7	6	..	7	..	..	..	..	15	..	6	8	10	5	14
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	..	..	..	..	0	..	0	0	0	1	1
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	..	..	..	..	2	..	3	2	0	1	0
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	3	2	3	3	4	9	5	6	7	5	7	2	8	8	14	11	15	..	..	..	..	8	..	5	11	3	2	7
Emigrants	Foreigners	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	..	..	..	..	0	..	1	0	0	0	0
Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	..	..	..	..	8	..	0	6	1	2	1
Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	1	2	0	2	2	4	1	1	4	1	1	6	2	4	2	8	2	..	..	..	..	3	..	11	7	4	5	10
Emigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	0	0	1	0	2	0	1	4	5	0	4	1	0	0	3	2	3	..	..	..	..	2	..	5	3	7	1	3
Emigrants	Foreigners	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	4	..	..	..	..	0	..	1	2	1	3	0
Emigrants	Foreigners	Cameroon	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	..	..	..	..	0	..	0	0	0	0	2
Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	10	8	8	14	19	10	15	13	6	9	12	11	5	12	13	26	19	..	..	..	..	41	..	20	18	7	8	35
Emigrants	Foreigners	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	0	0	0	5	1	1	3	0	2	3	0	0	0	1	0	3	2	..	..	..	..	11	..	3	3	3	1	3
