Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	134	95	61	46	54	54	38	38	31	82	42	19	7	12	5	11	12	17	29	31	23	17	41	27	51	48	4163
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	8	12	8	9	5	14	29	17	36	45	27	4	5	9	6	9	6	9	12	4	18	10	30	50	53	50	44
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	79	27	43	25	66	69	31	33	28	43	37	63	73	52	60	49	73	69	11	6	10	24	17	10	15	18	13	15	18	35	29	36	25	30
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	37	93	105	112	120	110	33	23	20	89	79	3	5	2	2	3	7	4	11	17	16	15	38	18	25	32	33
Emigrants	Foreigners	Antigua and Barbuda	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	..	..	0	0	0	0	0
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	56	89	322	150	93	74	64	56	52	48	46	65	69	61	49	48	48	63	41	50	24	30	39	34	55	46	70	73	53	37	71	79	56	75
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	0	11	28	7	67	24	12	3	2	2	2	4	0	11	6	8	8	12	10	27	16	27
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	394	354	372	342	317	313	277	224	241	254	316	352	355	346	427	336	451	378	215	316	344	353	412	370	433	446	401	439	503	526	475	477	454	411
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	192	200	152	155	131	159	101	135	161	185	144	121	161	190	133	164	179	189	143	146	188	180	180	163	213	212	180	220	233	236	234	263	258	306
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	0	0	1	1	11	3	1	0	2	1	2	1	2	2	4	10	3	11	14	13	19	26
Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	3	3	1	0	1	7	1	4	2	2	1	0	5	1	1	2	0	0	0	0	..	..	1	2	0	2	0
Emigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	1	4	5	6	3	5	1	3	0	1	0	1	0	0	0	0	0	2	0	0	..	..	1	0	1	2	3
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	158	294	463	185	104	85	61	84	62	65	61	28	12	6	25	12	24	13	17	20	46	25	31	42	54	51	76
Emigrants	Foreigners	Barbados	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	4	0	1	2	3	1	3	2	0	3	3	3	3	1	1	1	3	1	0	2	1	..	0	1	0	3	1
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	0	0	0	0	0	0	0	1	12	11	10	17	12	16	6	17	18	37	23	23	17	18	30	37	31	27	36
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	870	810	946	897	835	911	913	1011	987	1115	1002	1032	1111	984	1111	1046	1175	1088	970	955	990	1000	996	1046	1070	1050	1075	1081	1116	1107	1066	1114	1179	1256
Emigrants	Foreigners	Belize	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	4	0	0	1	2	0	0	1	0	0	1	1	0	1	0	0	1	1	1	3	0	0	3
Emigrants	Foreigners	Benin	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	2	2	7	7	15	3	8	6	8	14	5	0	0	4	4	2	5	3	3	3	2	1	5	16	5	4	11
Emigrants	Foreigners	Bhutan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	1	3	4	4	3	3	4	3	3	5	13	2	2	1	7	5	8	13	10	12	13	23	7	9	12	8	36
Emigrants	Foreigners	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	15	9	15	11	12	9	14	18	10	12	8	14	12	9	20	15	15	19	7	11	22	11	19	32	19	26	23
Emigrants	Foreigners	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	0	0	0	0	0	0	69	124	169	291	285	124	181	153	121	90	120	235	127	92	87	100	100	113	96	134	103
Emigrants	Foreigners	Botswana	903	Africa	913	Southern Africa	902	Developing regions	..	..	..	..	..	..	..	12	8	13	6	4	8	3	2	5	2	8	4	11	4	9	4	9	4	9	4	4	5	6	7	2	2	1
Emigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	94	74	94	109	58	86	83	97	101	129	122	145	180	199	215	200	242	248	166	141	165	131	178	153	190	202	260	306	329	336	368	361	360	449
Emigrants	Foreigners	Brunei Darussalam	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	5	1	3	5	7	8	1	2	6	8	7	7	16	9	0	5	12	14	4	2	3	12	12	4	11	6	2
Emigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	7	15	23	31	118	169	86	49	45	69	40	38	39	26	42	51	79	61	72	90	280	555	948	1187	1349	1791	1828
Emigrants	Foreigners	Burkina Faso	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	10	9	28	14	18	16	15	13	9	23	13	5	2	3	4	4	3	1	3	5	6	4	6	11	3	5	6
Emigrants	Foreigners	Burundi	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	1	1	0	3	1	1	3	2	0	2	0	1	0	0	0	0	4	3	2	4	2	3	5	6	7	10	12
Emigrants	Foreigners	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	..	..	..	43	42	54	65	43	30	51	65	57	34	72	87	125	92	84	20	19	6	15	14	9	10	11	13	8	14	21	28	36	28	22
Emigrants	Foreigners	Cambodia	935	Asia	920	South-Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	7	1	5	2	7	14	9	2	1	3	4	8	4	2	4	5	0	0	0	1	2	3	3	6	5	1	4
Emigrants	Foreigners	Cameroon	903	Africa	911	Middle Africa	902	Developing regions	3	17	13	3	5	5	3	5	9	7	13	17	7	23	25	29	29	41	12	11	12	18	19	17	20	14	37	38	16	56	67	92	63	73
Emigrants	Foreigners	Canada	905	Northern America	905	Northern America	901	Developed regions	283	255	226	206	193	254	264	272	269	309	284	300	320	381	413	348	422	383	304	321	297	286	359	294	296	360	379	359	326	456	411	450	469	540
Emigrants	Foreigners	Central African Republic	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	1	..	..	0	0	1	0	0
Emigrants	Foreigners	Chad	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	6	9	9	4	5	4	1	3	2	1	0	0	0	0	0	0	0	0	0	0	1	..	0	1	1	0	0
Emigrants	Foreigners	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	81	79	68	64	82	83	97	147	75	76	91	106	73	74	51	25	23	51	15	35	29	36	129	206	183	51	90	58	43	67	77
Emigrants	Foreigners	China (including Hong Kong Special Administrative Region)	935	Asia	906	Eastern Asia	902	Developing regions	104	113	149	161	134	170	175	230	229	167	187	191	322	321	389	379	536	469	288	212	264	289	419	452	550	577	777	910	851	1554	1915	2019	2135	2350
Emigrants	Foreigners	China, Taiwan Province of China	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	..	88	63	132	144	158	196	226	220	229	240	225
Emigrants	Foreigners	Colombia	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	53	27	26	36	64	54	101	100	149	154	180	174	120	107	106	64	70	47	57	43	78	77	66	93	90	98	127	144	171	150	223
Emigrants	Foreigners	Comoros	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	..	..	0	1	0	1	0
Emigrants	Foreigners	Congo	903	Africa	911	Middle Africa	902	Developing regions	14	8	0	3	13	9	11	1	0	0	0	1	0	1	0	1	4	1	0	4	0	4	1	2	3	10	8	13	10	12	14	17	15	17
Emigrants	Foreigners	Costa Rica	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	2	8	1	9	10	13	12	21	3	11	10	10	6	9	13	16	13	7	15	13	23	12	24	20	19	29	30
Emigrants	Foreigners	Côte d'Ivoire	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	15	9	16	41	8	14	8	7	4	17	5	0	4	1	1	1	2	2	8	4	7	3	4	12	9	9	20
Emigrants	Foreigners	Croatia	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	0	0	0	0	0	4	29	52	48	87	75	51	46	48	44	51	53	75	84	62	54	70	71	56	96	83	90
Emigrants	Foreigners	Cuba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	2	1	1	6	2	3	7	12	14	26	22	37	41	25	34	35	29	33	25	19	12	25	27	21	15	27	15
Emigrants	Foreigners	Cyprus	935	Asia	922	Western Asia	902	Developing regions	15	6	11	9	6	5	13	2	12	11	10	13	14	4	6	3	5	6	2	4	3	2	2	5	4	4	8	12	14	14	24	23	33	71
Emigrants	Foreigners	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	0	0	0	0	0	0	111	81	40	49	72	78	100	63	56	114	101	101	158	176	207	242	292	274	291	362	318
Emigrants	Foreigners	Democratic People's Republic of Korea	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	..	1	0	2	0	0	0
Emigrants	Foreigners	Democratic Republic of the Congo	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	211	379	729	516	196	81	57	89	228	407	171	24	4	4	2	6	7	4	9	21	10	9	27	29	16	24	16
Emigrants	Foreigners	Denmark	908	Europe	924	Northern Europe	901	Developed regions	141	138	131	154	126	137	174	115	131	140	143	194	237	238	288	269	265	272	224	189	270	247	250	197	235	249	191	285	268	289	277	260	275	283
Emigrants	Foreigners	Djibouti	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	1	1	1	1	1	0	0	0	0	2	0	0	0	1	1	1	..	0	0	1	0	0
Emigrants	Foreigners	Dominica	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	2	0	0	0	0	0	2	2	1	2	1	0	0	0	1	0	0	1	0	1	..	..	1	0	0	0	0
Emigrants	Foreigners	Dominican Republic	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	27	37	29	39	60	98	108	226	165	129	79	28	18	23	16	14	16	24	15	28	8	18	25	31	34	34	31
Emigrants	Foreigners	Ecuador	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	5	7	11	8	11	21	20	27	19	25	33	30	22	10	24	20	16	24	22	28	46	38	35	49	38	44	55
Emigrants	Foreigners	Egypt	903	Africa	912	Northern Africa	902	Developing regions	55	58	113	138	127	93	124	159	303	402	395	690	467	477	437	278	512	401	76	61	68	63	48	57	87	51	67	73	83	147	126	115	145	169
Emigrants	Foreigners	El Salvador	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	1	4	4	4	20	3	4	2	3	6	1	1	2	3	1	2	6	0	2	3	5	1	4	2	5	3	6
Emigrants	Foreigners	Eritrea	903	Africa	910	Eastern Africa	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	1	3	7	4	6	4	10	9	2	1	3	3	3	4	12	20	15	15	17
Emigrants	Foreigners	Estonia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	0	0	0	0	0	0	2	6	6	7	14	7	5	14	13	10	11	20	38	37	22	32	33	45	76	101	108
Emigrants	Foreigners	Ethiopia	903	Africa	910	Eastern Africa	902	Developing regions	21	25	73	44	44	62	79	111	100	215	210	181	145	140	133	131	149	166	59	41	19	74	47	52	50	83	53	106	68	97	210	149	113	235
Emigrants	Foreigners	Fiji	909	Oceania	928	Melanesia	902	Developing regions	..	..	..	..	..	..	..	10	3	3	2	1	9	2	2	2	1	4	0	0	1	0	6	2	0	1	0	1	..	3	2	0	3	1
Emigrants	Foreigners	Finland	908	Europe	924	Northern Europe	901	Developed regions	88	64	61	54	54	69	60	86	97	103	70	119	102	144	157	200	246	283	201	287	280	311	251	257	249	235	273	246	239	256	255	287	329	303
Emigrants	Foreigners	France	908	Europe	926	Western Europe	901	Developed regions	623	740	737	630	617	631	748	729	734	857	871	938	930	925	1153	1097	1407	1238	773	787	961	861	974	1058	995	949	934	1106	1114	1642	1769	1958	2019	2007
Emigrants	Foreigners	Gabon	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	0	6	1	3	4	1	5	3	2	0	7	0	5	5	3	7	2	0	0	9	..	7	7	8	2	1	6
Emigrants	Foreigners	Gambia	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	13	17	33	14	6	14	5	17	10	10	11	8	4	1	5	7	3	2	2	5	9	4	11	9	4	14	10
Emigrants	Foreigners	Georgia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	0	0	0	0	0	0	0	7	14	49	36	6	2	11	10	12	4	8	12	15	16	20	40	28	26	35	57
Emigrants	Foreigners	Germany	908	Europe	926	Western Europe	901	Developed regions	2495	2435	2238	2388	2396	2403	2321	2391	2259	2504	2311	2937	3061	3234	4015	3685	4694	3947	3047	2995	3219	2956	3081	2811	3006	3074	3570	3522	3874	4494	4856	5691	6419	6172
Emigrants	Foreigners	Ghana	903	Africa	914	Western Africa	902	Developing regions	29	62	89	69	60	56	71	410	674	924	586	652	674	610	641	348	406	174	41	49	51	75	38	48	40	60	84	121	76	103	172	179	157	200
Emigrants	Foreigners	Greece	908	Europe	925	Southern Europe	901	Developed regions	179	198	211	238	273	182	139	174	240	278	243	314	342	352	478	516	564	392	324	217	225	246	290	306	288	333	328	390	433	635	667	676	917	1209
Emigrants	Foreigners	Grenada	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	1	2	0	0	0	0	2	0	0	2	0	1	0	0	0	1	1	0	0	0	3	1	0	0	0	0	0
Emigrants	Foreigners	Guatemala	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	2	4	2	5	4	10	2	4	2	3	0	1	6	4	7	3	11	7	5	6	6	4	10	9	8	10	8
Emigrants	Foreigners	Guinea	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	2	7	9	4	8	9	9	13	18	14	12	1	0	1	1	2	2	2	3	5	4	7	8	8	13	8	5
Emigrants	Foreigners	Guinea-Bissau	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	2	5	11	3	6	5	1	1	5	4	2	2	0	2	1	0	2	0	1	0	..	..	0	0	3	0	2
Emigrants	Foreigners	Guyana	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	8	13	16	14	14	11	19	27	22	22	11	5	3	4	5	2	6	0	4	3	1	4	1	5	1	3	7
Emigrants	Foreigners	Haiti	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	4	2	1	12	0	8	11	2	6	3	1	0	1	1	2	1	0	0	2	1	..	2	1	1	3	2	2
Emigrants	Foreigners	Holy See	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	..	0	..	..	0	0	0	0	0
Emigrants	Foreigners	Honduras	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	..	0	2	2	2	1	4	7	9	3	5	5	8	4	3	8	0	5	5	5	3	7	1	3	11	4	4	5
Emigrants	Foreigners	Hungary	908	Europe	923	Eastern Europe	901	Developed regions	54	78	61	45	36	55	67	49	43	133	233	129	134	141	125	121	154	178	143	215	163	205	164	138	229	164	184	258	381	448	592	710	856	1014
Emigrants	Foreigners	Iceland	908	Europe	924	Northern Europe	901	Developed regions	7	15	5	15	10	22	30	16	26	31	32	20	39	26	37	44	38	32	33	32	35	36	29	36	35	59	43	52	72	65	52	72	91	76
Emigrants	Foreigners	India	935	Asia	5501	Southern Asia	902	Developing regions	106	98	177	153	136	147	130	525	661	644	384	309	350	368	370	278	368	255	174	201	181	207	197	187	220	315	552	1041	1348	1028	1338	1237	1489	1634
Emigrants	Foreigners	Indonesia	935	Asia	920	South-Eastern Asia	902	Developing regions	541	434	487	371	358	380	389	422	379	398	516	482	530	494	497	472	588	447	244	245	260	259	362	401	450	477	572	675	569	664	648	619	685	732
Emigrants	Foreigners	Iran (Islamic Republic of)	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	147	156	243	205	253	270	273	316	255	290	236	68	67	36	47	41	72	58	62	71	95	80	153	215	171	155	243
Emigrants	Foreigners	Iraq	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	25	19	40	46	52	47	49	100	167	219	188	47	52	22	12	28	13	38	55	46	24	35	80	101	210	199	140
Emigrants	Foreigners	Ireland	908	Europe	924	Northern Europe	901	Developed regions	320	375	348	257	225	239	335	514	374	515	460	385	575	630	713	585	772	575	303	224	233	207	206	200	259	226	237	245	248	305	329	347	467	420
Emigrants	Foreigners	Israel	935	Asia	922	Western Asia	902	Developing regions	184	216	240	193	143	136	177	153	178	161	148	182	247	225	288	169	263	117	94	87	62	66	36	96	83	140	107	107	99	140	156	115	155	134
Emigrants	Foreigners	Italy	908	Europe	925	Southern Europe	901	Developed regions	938	951	1062	1084	930	769	740	651	629	719	651	688	698	623	866	760	1016	840	550	612	640	644	682	818	666	692	812	890	866	1124	1256	1432	1575	1448
Emigrants	Foreigners	Jamaica	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	..	10	13	9	7	16	16	10	13	16	20	18	12	12	10	29	6	8	4	4	6	12	6	10	13	6	6	4
Emigrants	Foreigners	Japan	935	Asia	906	Eastern Asia	901	Developed regions	424	540	630	505	565	672	640	543	676	600	811	965	1287	1008	1130	1315	1447	1297	997	1113	1067	1054	1234	1085	1086	994	1064	1071	972	1246	969	967	921	995
