Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Less developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	4	5	2	2	2	2	..	..	..	..
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	More developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	5	1	0	0	..	..	..	..
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Less developed regions	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	1	1	0	3	0	2	..	..	..	..
Emigrants	Foreigners	American Samoa	909	Oceania	957	Polynesia	902	Less developed regions	7	2	11	4	0	3	8	3	6	8	7	11	9	5	3	7	4	3	3	0	1	2	2	6	1	2	2	3	1	0	..	..	..	..
Emigrants	Foreigners	Andorra	908	Europe	925	Southern Europe	901	More developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Less developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..
Emigrants	Foreigners	Anguilla	904	Latin America and the Caribbean	915	Caribbean	902	Less developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..
Emigrants	Foreigners	Antigua and Barbuda	904	Latin America and the Caribbean	915	Caribbean	902	Less developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	..	..	..	..
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Less developed regions	3	7	11	1	0	9	1	5	2	1	8	7	21	15	29	11	18	22	10	9	20	14	6	33	45	60	58	60	80	129	..	..	..	..
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Less developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	..	..	..	..
