Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	13	20	10	21	16	6	2	1	9	5	3	3	6	7	21	35	40	35	23	9	21	19	20	36	53
Emigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	1	0	0	0	0	0	0	0	1	0	0	6	4	6	7	7	5	10	8	9	25	22	9	14	10	8	3	17	6	8	5	7	12	7
Emigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	11	11	1	3	2	6	3	3	4	13	23	22	23	17	17	7	7	11	4	14	7	7	6	14	15	11	7	22	8	3	14	8	9	12
Emigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	1	1	0	1	0	1	4	2	2	1	3	4	1	2	10	6	1	6	4	15	4	5	1	8	12	14	13	13
Emigrants	Foreigners	Antigua and Barbuda	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	..	0	0	0	0	0	0
Emigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	9	18	16	3	18	7	23	11	6	10	14	6	7	10	13	8	9	10	7	10	9	26	9	6	17	17	16	15	5	14	17	17	9	8
Emigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	1	4	6	7	4	10	0	0	3	0	5	8
Emigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	86	74	46	64	80	72	67	55	60	98	95	56	61	85	65	84	84	135	91	78	110	103	93	105	131	145	126	118	69	84	127	99	116	112
Emigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	36	24	31	22	27	29	22	21	24	35	29	28	22	34	19	22	34	33	47	37	66	45	35	41	51	43	49	69	23	28	49	24	39	74
Emigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	6	9	11	12	2	7	2	7	9	12	25	34
Emigrants	Foreigners	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	..	..	0	1	0	0	1	0
Emigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	..	0	0	0	0	0	0
Emigrants	Foreigners	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	3	5	18	20	12	10	13	7	4	21	38	43	53	83	29	21	77	63	32	23	30	44	21	37	42	47	45	22	13	25	29	13	36	35
Emigrants	Foreigners	Barbados	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	1	2	0	1	2	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	..	0	1	0	0	0	0
Emigrants	Foreigners	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	12	8	5	5	13	11	8	18	12	15	24	26	18	5	10	15	17	8	14
Emigrants	Foreigners	Belgium	908	Europe	926	Western Europe	901	Developed regions	27	38	16	16	25	21	21	24	45	39	71	26	30	44	33	63	54	50	54	37	55	47	41	41	50	30	39	24	16	21	45	46	29	60
Emigrants	Foreigners	Belize	904	Latin America and the Caribbean	916	Central America	902	Developing regions	..	..	..	..	..	..	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	..	..	1	1	0	0	2	0
Emigrants	Foreigners	Benin	903	Africa	914	Western Africa	902	Developing regions	0	0	1	5	4	0	0	0	0	0	1	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	..	..	0	0	0	0	0	2
Emigrants	Foreigners	Bhutan	935	Asia	5501	Southern Asia	902	Developing regions	0	0	2	1	1	0	2	0	0	2	0	0	1	0	1	1	1	2	2	1	1	4	2	3	1	3	..	1	2	2	5	3	5	2
