Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Emigrants	Citizens	Portugal	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18372	14138	21796	41443	49458	50835
Emigrants	Foreigners	Unknown	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11100	14040	10660	9800	9300	8900	10680	10800	12700	26800	1985	2761	1964	2555	2500	2951
Emigrants	Both	Total	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11100	14040	10660	9800	9300	8900	10680	10800	12700	26800	20357	16899	23760	43998	51958	53786
Immigrants	Foreigners	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	2873	1824	833	728	327	460	670	1412	1834	1717	1942	2202	2677	3212	11389	11564	..	..	..	..	..	..
Immigrants	Foreigners	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	131	144	72	77	834	2959	..	..	..	..	..	..
Immigrants	Foreigners	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	1014	1057	404	294	274	232	765	3893	3476	3556	3318	2053	2388	1902	3156	3028	..	..	..	..	..	..
Immigrants	Foreigners	China	935	Asia	906	Eastern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	289	2549	1037	..	..	..	..	..	..
Immigrants	Foreigners	France	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	243	262	280	271	251	46	453	715	726	649	585	492	429	363	164	840	..	..	..	..	..	..
Immigrants	Foreigners	Germany	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	332	404	550	603	482	71	635	859	842	799	762	703	599	570	292	1640	..	..	..	..	..	..
Immigrants	Foreigners	Guinea-Bissau	903	Africa	914	Western Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	1732	922	190	132	92	40	233	1330	1874	2043	1686	1051	835	776	1442	846	657	..	..	..	..	..
Immigrants	Citizens	Portugal	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9586	17883	19222	11872	9334	12156
Immigrants	Foreigners	Republic of Moldova	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	52	176	781	347	6078	3060	656	..	..	..	..	..
Immigrants	Foreigners	Romania	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	115	154	463	361	3909	10976	..	..	..	..	..	..
Immigrants	Foreigners	Sao Tome and Principe	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	420	378	79	52	31	25	125	444	705	969	788	426	666	467	857	520	289	..	..	..	..	..
Immigrants	Foreigners	Spain	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	235	207	326	320	270	80	540	1045	1172	1491	1023	754	616	600	255	1442	..	..	..	..	..	..
Immigrants	Foreigners	Ukraine	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	103	234	1029	574	744	957	947	..	..	..	..	..
Immigrants	Foreigners	United Kingdom of Great Britain and Northern Ireland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	424	496	614	678	500	79	539	761	855	900	1035	1046	1210	1066	837	3856	..	..	..	..	..	..
Immigrants	Foreigners	United States of America	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	479	428	435	323	225	490	331	203	218	145	124	105	79	75	150	150	83	..	..	..	..	..
Immigrants	Foreigners	Unknown	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	5983	3874	1942	1624	1192	1040	38809	41378	45958	62531	67636	62860	46076	38521	6144	3425	17500	14424	8353	7795	5272	5398
Immigrants	Both	Total	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	13735	9852	5653	5025	3644	2563	43100	52040	57660	74800	79300	72400	57920	49200	38800	46300	29718	32307	27575	19667	14606	17554
