Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Immigrants	Foreigners	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	15	12	6	6	4	2	4	2	1	1	1	0	3	1	0	0	1	0	..	..	..
Immigrants	Foreigners	Albania	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	0	0	0	1	1	1	1	2	4	1	3	5	2	1	1	0	..	..	..
Immigrants	Foreigners	Algeria	903	Africa	912	Northern Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	2	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	..	..	..
Immigrants	Foreigners	Angola	903	Africa	911	Middle Africa	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	15	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	..	..	..
Immigrants	Foreigners	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	1	0	0	0	2	0	2	2	1	0	0	2	1	1	2	..	..	..
Immigrants	Foreigners	Armenia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	24	33	19	15	11	5	4	17	16	11	14	24	33	35	27	29	33	35	..	..	..
Immigrants	Foreigners	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	1	0	1	1	2	3	1	1	3	5	3	..	..	..
Immigrants	Foreigners	Austria	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	1	0	0	0	2	0	0	0	1	3	2	6	11	11	15	..	..	..
Immigrants	Foreigners	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	21	14	21	12	8	9	11	6	13	12	35	27	42	65	93	72	41	33	..	..	..
Immigrants	Foreigners	Bahrain	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..
